GPS Time,Engine RPM(rpm),Fuel flow rate/hour(l/hr),Intake Air Temperature(°C),Speed (OBD)(km/h),Mass Air Flow Rate(g/s),Throttle Position(Manifold)(%),Voltage (OBD Adapter)(V),Engine Coolant Temperature(°C)
Fri Aug 01 08:45:07 EEST 2014,934.25,1.33029199,23,0,3.6400001,12.15686321,13.80000019,38
Fri Aug 01 08:45:08 EEST 2014,1126.5,1.51302421,23,0,4.13999987,13.33333397,13.89999962,39
Fri Aug 01 08:45:09 EEST 2014,721,1.37049305,23,0,3.75,12.54901981,13,39
Fri Aug 01 08:45:10 EEST 2014,734.25,1.21334314,23,4,3.31999993,12.15686321,13.89999962,39
Fri Aug 01 08:45:11 EEST 2014,997.5,1.18776059,23,7,3.25,12.15686321,13.89999962,39
Fri Aug 01 08:45:12 EEST 2014,1153,1.27181745,23,6,3.48000002,12.15686321,13.89999962,39
Fri Aug 01 08:45:13 EEST 2014,825,1.19872451,23,5,3.27999997,12.15686321,12.60000038,40
Fri Aug 01 08:45:14 EEST 2014,664.75,1.14755952,23,7,3.1400001,12.15686321,13.89999962,40
Fri Aug 01 08:45:15 EEST 2014,724,1.31201851,23,9,3.58999991,12.54901981,13.80000019,40
Fri Aug 01 08:45:16 EEST 2014,763.25,1.53495216,23,9,4.19999981,14.50980377,13.80000019,40
Fri Aug 01 08:45:17 EEST 2014,911.5,1.76154041,23,10,4.82000017,13.72549057,13.89999962,40
Fri Aug 01 08:45:18 EEST 2014,1064,2.27684569,23,12,6.23000002,17.25490189,13.80000019,40
Fri Aug 01 08:45:19 EEST 2014,1222.5,2.92737317,23,14,8.01000023,18.4313736,13.89999962,41
Fri Aug 01 08:45:20 EEST 2014,1434.25,1.30105472,23,18,3.55999994,12.15686321,13.89999962,41
Fri Aug 01 08:45:21 EEST 2014,1148.25,1.20237923,23,18,3.28999996,12.15686321,13.30000019,41
Fri Aug 01 08:45:22 EEST 2014,1053.75,1.15852344,23,18,3.17000008,12.15686321,13.80000019,41
Fri Aug 01 08:45:23 EEST 2014,1066.25,1.19141519,23,13,3.25999999,12.15686321,13.89999962,41
Fri Aug 01 08:45:24 EEST 2014,806.25,1.96985531,23,12,5.38999987,12.54901981,13.89999962,42
Fri Aug 01 08:45:25 EEST 2014,1028.75,2.2439537,23,11,6.13999987,16.47058868,13.89999962,42
Fri Aug 01 08:45:26 EEST 2014,1245.25,2.5948,23,15,7.0999999,16.86274529,13.80000019,42
Fri Aug 01 08:45:27 EEST 2014,1362.5,3.75697803,23,17,10.27999973,22.35294151,13.89999962,42
Fri Aug 01 08:45:28 EEST 2014,1687.5,4.11147881,23,19,11.25,24.31372643,14,43
Fri Aug 01 08:45:29 EEST 2014,1427.25,1.21334302,23,23,3.31999993,12.15686321,13.89999962,43
Fri Aug 01 08:45:30 EEST 2014,1294.5,3.55597234,23,23,9.72999954,25.49019623,13.89999962,43
Fri Aug 01 08:45:31 EEST 2014,1445.25,3.38420391,23,25,9.26000023,19.6078434,13.89999962,43
Fri Aug 01 08:45:32 EEST 2014,1566.25,2.43034101,23,29,6.6500001,17.25490189,13.89999962,44
Fri Aug 01 08:45:33 EEST 2014,1584.25,2.60210919,23,29,7.11999989,16.86274529,13.89999962,44
Fri Aug 01 08:45:34 EEST 2014,1653,3.59617376,23,29,9.84000015,20.7843132,14,44
Fri Aug 01 08:45:35 EEST 2014,1755.25,2.66058373,23,29,7.28000021,18.8235302,14,45
